"Title","Release Year","Genre","Content Rating","Runtime","Critic Rating","Audience Rating","Difference"
"City of Ember","2008","Action & Adventure","PG",95,53,46,7
"Clemency","2019","Drama","R",113,92,65,27
"Clerks II","2006","Comedy","R",92,64,84,-20
"Click","2006","Comedy","PG-13",108,34,66,-32
"Closer","2004","Drama","R",101,68,81,-13
"Cloud Atlas","2012","Drama","R",172,67,66,1
"Clouds of Sils Maria","2015","Drama","R",123,90,65,25
"Cloudy With a Chance of Meatballs","2009","Animation","PG",90,86,72,14
"Cloudy with a Chance of Meatballs 2","2013","Action & Adventure","PG",95,70,66,4
"Cloverfield","2008","Action & Adventure","PG-13",85,77,68,9
"Club Dread","2004","Comedy","R",103,29,44,-15
"Coach Carter","2005","Drama","PG-13",136,64,85,-21
"Coco","2017","Action & Adventure","PG",109,97,94,3
"Code 46","2004","Drama","R",92,51,58,-7
"Cold Creek Manor","2003","Drama","R",119,12,23,-11
